task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
62.9,0.0,0.0,0.0,0,0,15.725,62.9,0.0
61.38399999999999,0.0,0.0,0.0,0,1,15.345999999999998,61.38399999999999,1.5160000000000053
69.872,0.0,0.0,0.0,0,2,17.468,69.872,-6.972000000000001
82.128,0.0,0.0,0.0,0,3,20.532,82.128,-12.256
83.80799999999999,0.0,0.0,0.0,0,4,20.951999999999998,83.80799999999999,-1.6799999999999926
92.532,0.0,0.0,0.0,0,5,23.133,92.532,-8.724000000000004
93.64,0.0,0.0,0.0,0,6,23.41,93.64,-1.108000000000004
94.20599999999999,0.0,0.0,0.0,0,7,23.551499999999997,94.20599999999999,-0.5659999999999883
93.85,0.0,0.0,0.0,0,8,23.4625,93.85,0.35599999999999454
93.744,0.0,0.0,0.0,0,9,23.436,93.744,0.4619999999999891
72.148,79.27799999999999,0.0,0.0,1,0,37.8565,75.713,22.057999999999993
73.388,86.164,0.0,0.0,1,1,39.888000000000005,79.77600000000001,6.965999999999987
72.76,93.19,0.0,0.0,1,2,41.4875,82.975,7.209999999999994
73.04400000000001,93.394,0.0,0.0,1,3,41.609500000000004,83.21900000000001,10.478999999999985
74.586,94.51,0.0,0.0,1,4,42.274,84.548,9.251999999999995
74.99600000000001,94.602,0.0,0.0,1,5,42.3995,84.799,9.55899999999999
75.606,94.69200000000001,0.0,0.0,1,6,42.5745,85.149,9.254999999999995
75.804,94.87,0.0,0.0,1,7,42.6685,85.337,9.111999999999995
75.756,94.916,0.0,0.0,1,8,42.668,85.336,9.201999999999998
75.38199999999999,95.3,0.0,0.0,1,9,42.6705,85.341,9.219999999999999
68.704,79.864,69.482,0.0,2,0,54.512499999999996,72.68333333333332,20.468999999999994
68.36800000000001,73.702,84.69000000000001,0.0,2,1,56.69,75.58666666666666,10.742666666666656
70.748,74.94200000000001,88.512,0.0,2,2,58.5505,78.06733333333334,13.331333333333328
72.902,75.9,90.3,0.0,2,3,59.77550000000001,79.70066666666668,12.971999999999994
70.49199999999999,75.914,91.324,0.0,2,4,59.432500000000005,79.24333333333334,14.02533333333333
68.39,77.05,93.716,0.0,2,5,59.789,79.71866666666666,13.89133333333333
70.982,76.40599999999999,94.91799999999999,0.0,2,6,60.576499999999996,80.76866666666666,13.638666666666666
71.55199999999999,73.68199999999999,94.488,0.0,2,7,59.930499999999995,79.90733333333333,14.900666666666666
71.886,73.81,94.4,0.0,2,8,60.024,80.032,14.775999999999991
71.664,73.944,94.446,0.0,2,9,60.0135,80.018,14.789999999999992
63.568000000000005,70.046,69.934,74.248,3,0,69.449,69.449,26.95866666666666
65.63199999999999,71.75,65.864,86.838,3,1,72.521,72.521,17.147
66.876,70.20599999999999,65.842,90.506,3,2,73.35749999999999,73.35749999999999,19.457999999999995
65.606,70.304,62.17,94.57000000000001,3,3,73.1625,73.1625,20.569999999999993
61.51800000000001,68.216,65.06,96.25800000000001,3,4,72.763,72.763,21.98549999999999
68.44800000000001,67.932,62.65599999999999,96.942,3,5,73.9945,73.9945,21.176
67.998,69.874,63.227999999999994,96.78999999999999,3,6,74.4725,74.4725,20.868999999999996
63.69199999999999,71.342,65.314,96.57000000000001,3,7,74.2295,74.2295,21.111999999999995
62.742,72.608,65.80199999999999,96.416,3,8,74.392,74.392,20.949499999999997
63.324,72.83,66.44800000000001,96.502,3,9,74.776,74.776,20.565499999999993
